# Atomic ae- and pseudo- wavefunctions
#local 1 
#l=0 r_rec=1.10
0.5182146441E-03 -0.6625087116E-02 0.9093000458E-03 -0.1805262277E+02 -0.2300231721E-02
0.5248558737E-03 -0.6709402634E-02 0.9209532670E-03 -0.1805234728E+02 -0.2329710562E-02
0.5315526781E-03 -0.6794411062E-02 0.9327040041E-03 -0.1805206696E+02 -0.2359436086E-02
0.5383055225E-03 -0.6880118016E-02 0.9445530731E-03 -0.1805178196E+02 -0.2389410358E-02
0.5451148756E-03 -0.6966529159E-02 0.9565012969E-03 -0.1805149240E+02 -0.2419635459E-02
0.5519812105E-03 -0.7053650196E-02 0.9685495052E-03 -0.1805119843E+02 -0.2450113489E-02
0.5589050039E-03 -0.7141486877E-02 0.9806985347E-03 -0.1805090017E+02 -0.2480846563E-02
0.5658867366E-03 -0.7230044997E-02 0.9929492290E-03 -0.1805059772E+02 -0.2511836817E-02
0.5729268936E-03 -0.7319330396E-02 0.1005302439E-02 -0.1805029121E+02 -0.2543086401E-02
0.5800259636E-03 -0.7409348962E-02 0.1017759023E-02 -0.1804998073E+02 -0.2574597487E-02
0.5871844398E-03 -0.7500106625E-02 0.1030319845E-02 -0.1804966639E+02 -0.2606372263E-02
0.5944028192E-03 -0.7591609364E-02 0.1042985777E-02 -0.1804934828E+02 -0.2638412934E-02
0.6016816030E-03 -0.7683863204E-02 0.1055757701E-02 -0.1804902648E+02 -0.2670721727E-02
0.6090212969E-03 -0.7776874216E-02 0.1068636501E-02 -0.1804870108E+02 -0.2703300885E-02
0.6164224104E-03 -0.7870648520E-02 0.1081623074E-02 -0.1804837215E+02 -0.2736152670E-02
0.6238854576E-03 -0.7965192283E-02 0.1094718319E-02 -0.1804803978E+02 -0.2769279364E-02
0.6314109567E-03 -0.8060511718E-02 0.1107923148E-02 -0.1804770402E+02 -0.2802683267E-02
0.6389994303E-03 -0.8156613089E-02 0.1121238477E-02 -0.1804736495E+02 -0.2836366698E-02
0.6466514054E-03 -0.8253502708E-02 0.1134665230E-02 -0.1804702261E+02 -0.2870331998E-02
0.6543674134E-03 -0.8351186934E-02 0.1148204341E-02 -0.1804667708E+02 -0.2904581525E-02
0.6621479901E-03 -0.8449672179E-02 0.1161856749E-02 -0.1804632839E+02 -0.2939117657E-02
0.6699936759E-03 -0.8548964900E-02 0.1175623402E-02 -0.1804597660E+02 -0.2973942793E-02
0.6779050155E-03 -0.8649071609E-02 0.1189505256E-02 -0.1804562176E+02 -0.3009059351E-02
0.6858825585E-03 -0.8749998864E-02 0.1203503276E-02 -0.1804526390E+02 -0.3044469769E-02
0.6939268588E-03 -0.8851753277E-02 0.1217618433E-02 -0.1804490307E+02 -0.3080176507E-02
0.7020384749E-03 -0.8954341510E-02 0.1231851708E-02 -0.1804453930E+02 -0.3116182045E-02
0.7102179704E-03 -0.9057770275E-02 0.1246204090E-02 -0.1804417262E+02 -0.3152488882E-02
0.7184659130E-03 -0.9162046339E-02 0.1260676574E-02 -0.1804380306E+02 -0.3189099541E-02
0.7267828758E-03 -0.9267176518E-02 0.1275270165E-02 -0.1804343065E+02 -0.3226016563E-02
0.7351694361E-03 -0.9373167682E-02 0.1289985879E-02 -0.1804305542E+02 -0.3263242513E-02
0.7436261765E-03 -0.9480026754E-02 0.1304824735E-02 -0.1804267738E+02 -0.3300779974E-02
0.7521536841E-03 -0.9587760711E-02 0.1319787765E-02 -0.1804229655E+02 -0.3338631555E-02
0.7607525512E-03 -0.9696376581E-02 0.1334876008E-02 -0.1804191296E+02 -0.3376799884E-02
0.7694233750E-03 -0.9805881450E-02 0.1350090512E-02 -0.1804152662E+02 -0.3415287611E-02
0.7781667575E-03 -0.9916282455E-02 0.1365432333E-02 -0.1804113754E+02 -0.3454097410E-02
0.7869833060E-03 -0.1002758679E-01 0.1380902536E-02 -0.1804074573E+02 -0.3493231974E-02
0.7958736327E-03 -0.1013980170E-01 0.1396502196E-02 -0.1804035120E+02 -0.3532694023E-02
0.8048383550E-03 -0.1025293450E-01 0.1412232397E-02 -0.1803995396E+02 -0.3572486296E-02
0.8138780955E-03 -0.1036699253E-01 0.1428094230E-02 -0.1803955401E+02 -0.3612611557E-02
