# Atomic ae- and pseudo- wavefunctions
#local 1 
#l=0 r_rec=1.80
0.1971291956E-03 0.6119302605E-02 0.3862208440E-04 -0.1078986254E+03 0.1115676893E-02
0.1991629244E-03 0.6176581014E-02 0.3902053810E-04 -0.1078977073E+03 0.1127187031E-02
0.2012136719E-03 0.6234276579E-02 0.3942232612E-04 -0.1078967801E+03 0.1138793488E-02
0.2032815803E-03 0.6292392308E-02 0.3982747636E-04 -0.1078958436E+03 0.1150497070E-02
0.2053667933E-03 0.6350931228E-02 0.4023601696E-04 -0.1078948974E+03 0.1162298589E-02
0.2074694556E-03 0.6409896387E-02 0.4064797630E-04 -0.1078939413E+03 0.1174198865E-02
0.2095897134E-03 0.6469290852E-02 0.4106338297E-04 -0.1078929750E+03 0.1186198724E-02
0.2117277137E-03 0.6529117708E-02 0.4148226584E-04 -0.1078919983E+03 0.1198298999E-02
0.2138836052E-03 0.6589380061E-02 0.4190465398E-04 -0.1078910108E+03 0.1210500532E-02
0.2160575376E-03 0.6650081037E-02 0.4233057672E-04 -0.1078900123E+03 0.1222804169E-02
0.2182496617E-03 0.6711223781E-02 0.4276006366E-04 -0.1078890025E+03 0.1235210765E-02
0.2204601299E-03 0.6772811459E-02 0.4319314461E-04 -0.1078879810E+03 0.1247721181E-02
0.2226890956E-03 0.6834847256E-02 0.4362984965E-04 -0.1078869477E+03 0.1260336286E-02
0.2249367136E-03 0.6897334378E-02 0.4407020911E-04 -0.1078859022E+03 0.1273056956E-02
0.2272031400E-03 0.6960276051E-02 0.4451425356E-04 -0.1078848441E+03 0.1285884075E-02
0.2294885322E-03 0.7023675522E-02 0.4496201384E-04 -0.1078837732E+03 0.1298818533E-02
0.2317930490E-03 0.7087536056E-02 0.4541352106E-04 -0.1078826893E+03 0.1311861228E-02
0.2341168502E-03 0.7151860943E-02 0.4586880656E-04 -0.1078815919E+03 0.1325013067E-02
0.2364600974E-03 0.7216653488E-02 0.4632790195E-04 -0.1078804807E+03 0.1338274963E-02
0.2388229533E-03 0.7281917022E-02 0.4679083913E-04 -0.1078793556E+03 0.1351647835E-02
0.2412055819E-03 0.7347654894E-02 0.4725765024E-04 -0.1078782161E+03 0.1365132615E-02
0.2436081487E-03 0.7413870474E-02 0.4772836770E-04 -0.1078770621E+03 0.1378730236E-02
0.2460308205E-03 0.7480567153E-02 0.4820302420E-04 -0.1078758930E+03 0.1392441645E-02
0.2484737656E-03 0.7547748345E-02 0.4868165269E-04 -0.1078747088E+03 0.1406267793E-02
0.2509371537E-03 0.7615417482E-02 0.4916428643E-04 -0.1078735090E+03 0.1420209640E-02
0.2534211558E-03 0.7683578020E-02 0.4965095892E-04 -0.1078722933E+03 0.1434268155E-02
0.2559259443E-03 0.7752233436E-02 0.5014170396E-04 -0.1078710616E+03 0.1448444314E-02
0.2584516934E-03 0.7821387227E-02 0.5063655563E-04 -0.1078698134E+03 0.1462739101E-02
0.2609985782E-03 0.7891042912E-02 0.5113554830E-04 -0.1078685485E+03 0.1477153508E-02
0.2635667758E-03 0.7961204033E-02 0.5163871662E-04 -0.1078672666E+03 0.1491688538E-02
0.2661564645E-03 0.8031874152E-02 0.5214609553E-04 -0.1078659675E+03 0.1506345199E-02
0.2687678241E-03 0.8103056854E-02 0.5265772027E-04 -0.1078646507E+03 0.1521124509E-02
0.2714010359E-03 0.8174755744E-02 0.5317362636E-04 -0.1078633162E+03 0.1536027495E-02
0.2740562829E-03 0.8246974453E-02 0.5369384964E-04 -0.1078619636E+03 0.1551055191E-02
0.2767337493E-03 0.8319716629E-02 0.5421842623E-04 -0.1078605925E+03 0.1566208642E-02
0.2794336212E-03 0.8392985945E-02 0.5474739255E-04 -0.1078592029E+03 0.1581488898E-02
0.2821560861E-03 0.8466786097E-02 0.5528078536E-04 -0.1078577943E+03 0.1596897022E-02
0.2849013329E-03 0.8541120801E-02 0.5581864167E-04 -0.1078563667E+03 0.1612434084E-02
0.2876695524E-03 0.8615993797E-02 0.5636099886E-04 -0.1078549196E+03 0.1628101162E-02
0.2904609368E-03 0.8691408846E-02 0.5690789457E-04 -0.1078534529E+03 0.1643899345E-02
0.2932756799E-03 0.8767369733E-02 0.5745936680E-04 -0.1078519663E+03 0.1659829729E-02
0.2961139771E-03 0.8843880265E-02 0.5801545383E-04 -0.1078504596E+03 0.1675893421E-02
0.2989760257E-03 0.8920944272E-02 0.5857619429E-04 -0.1078489326E+03 0.1692091537E-02
0.3018620244E-03 0.8998565606E-02 0.5914162711E-04 -0.1078473851E+03 0.1708425201E-02
0.3047721735E-03 0.9076748143E-02 0.5971179156E-04 -0.1078458167E+03 0.1724895547E-02
0.3077066752E-03 0.9155495780E-02 0.6028672724E-04 -0.1078442274E+03 0.1741503720E-02
0.3106657333E-03 0.9234812440E-02 0.6086647408E-04 -0.1078426169E+03 0.1758250872E-02
0.3136495532E-03 0.9314702066E-02 0.6145107232E-04 -0.1078409851E+03 0.1775138168E-02
0.3166583422E-03 0.9395168626E-02 0.6204056258E-04 -0.1078393316E+03 0.1792166778E-02
0.3196923092E-03 0.9476216110E-02 0.6263498579E-04 -0.1078376564E+03 0.1809337887E-02
