# Atomic ae- and pseudo- wavefunctions
#local 2
#l=0 r_rec=0.90
0.2159603507E-03 0.7130477936E-02 0.2848387253E-03 -0.5202167483E+02 0.1041881221E-02
0.2185653312E-03 0.7214418513E-02 0.2882745386E-03 -0.5202172912E+02 0.1054448714E-02
0.2211921105E-03 0.7299031229E-02 0.2917391035E-03 -0.5202177422E+02 0.1067121374E-02
0.2238408711E-03 0.7384321433E-02 0.2952326603E-03 -0.5202180961E+02 0.1079900080E-02
0.2265117969E-03 0.7470294513E-02 0.2987554518E-03 -0.5202183480E+02 0.1092785721E-02
0.2292050735E-03 0.7556955898E-02 0.3023077226E-03 -0.5202184929E+02 0.1105779191E-02
0.2319208878E-03 0.7644311060E-02 0.3058897194E-03 -0.5202185262E+02 0.1118881392E-02
0.2346594285E-03 0.7732365509E-02 0.3095016908E-03 -0.5202184433E+02 0.1132093234E-02
0.2374208856E-03 0.7821124800E-02 0.3131438879E-03 -0.5202182398E+02 0.1145415635E-02
0.2402054511E-03 0.7910594527E-02 0.3168165634E-03 -0.5202179116E+02 0.1158849520E-02
0.2430133182E-03 0.8000780327E-02 0.3205199725E-03 -0.5202174546E+02 0.1172395821E-02
0.2458446820E-03 0.8091687881E-02 0.3242543723E-03 -0.5202168650E+02 0.1186055480E-02
0.2486997391E-03 0.8183322911E-02 0.3280200221E-03 -0.5202161391E+02 0.1199829446E-02
0.2515786878E-03 0.8275691182E-02 0.3318171835E-03 -0.5202152736E+02 0.1213718673E-02
0.2544817279E-03 0.8368798503E-02 0.3356461202E-03 -0.5202142652E+02 0.1227724129E-02
0.2574090611E-03 0.8462650726E-02 0.3395070981E-03 -0.5202131109E+02 0.1241846783E-02
0.2603608907E-03 0.8557253748E-02 0.3434003852E-03 -0.5202118078E+02 0.1256087619E-02
0.2633374216E-03 0.8652613510E-02 0.3473262520E-03 -0.5202103533E+02 0.1270447623E-02
0.2663388606E-03 0.8748735996E-02 0.3512849711E-03 -0.5202087450E+02 0.1284927795E-02
0.2693654161E-03 0.8845627237E-02 0.3552768174E-03 -0.5202069807E+02 0.1299529139E-02
